公司代號,公司簡稱,產業別,住址,發言人,實收資本額,已發行普通股數,Latitude,Longitude
3024,憶聲,26,桃園市中壢區中園路198號,彭亭玉,"$2,771,574,960","277,157,496",24.9867598,121.2395253
3025,星通,27,新竹科學工業園區新安路八號七樓,蔡幸娟,"$567,364,400","56,736,440",24.7824514,120.9992821
3026,禾伸堂,28,台北市內湖區環山路二段六十二號一樓,黃建融,"$1,658,903,180","165,890,318",25.0850186,121.5746129
3027,盛達,27,新北市新店區中興路2段192號8樓,張淑梅,"$1,160,645,610","116,064,561",24.9730078,121.5484773
3028,增你強,29,台北市內湖區新湖二路250巷8號,周俊賢,"$2,372,411,930","237,241,193",25.0647719,121.5825318
3029,零壹,30,台北市內湖區內湖路一段360巷8號10樓,黃素娥,"$1,670,052,120","167,005,212",25.0807253,121.570248
3030,德律,31,台北市士林區德行西路45號7樓,林江淮,"$2,362,160,000","236,216,000",25.1061172,121.5231653
3031,佰鴻,26,新北市板橋區和平路19~25號3樓,廖心蓓,"$1,732,032,240","173,203,224",24.9949415,121.4596999
3032,偉訓,28,台南市安南區安和路二段54巷225號,李家慶,"$1,132,856,260","113,285,626",23.0352802,120.2169004
3033,威健,29,台北市內湖區內湖路一段308號11樓,周甘淋,"$4,802,811,650","480,281,165",25.0816487,121.5691596
3034,聯詠,24,新竹科學園區創新一路13號2樓,陳健興,"$6,085,114,690","608,511,469",24.7758001,120.9971998
3035,智原,24,新竹科學園區新竹市力行三路5號,曾雯如,"$2,605,503,130","260,550,313",24.7736807,121.0217039
3036,文曄,29,新北市中和區中正路738號14樓,林冠男,"$13,995,859,010","1,264,585,901",24.9981631,121.4854958
3037,欣興,28,桃園市龜山區山鶯路179號,鍾明峰,"$15,756,001,970","1,575,600,197",24.9816539,121.3305982
3038,全台,26,高雄市前鎮區中一路5號,謝文雄,"$1,574,076,030","157,407,603",22.6003157,120.2916682
3040,遠見,20,新北市板橋區文化路二段287號35樓,黃庭洋,"$630,000,000","63,000,000",25.0295469,121.4715318
3041,揚智,24,台北市內湖區內湖路一段246號6樓,連建欽,"$1,402,236,470","140,223,647",25.0820144,121.5660929
3042,晶技,28,台北市北投區中央南路二段十六號四樓,洪冠文,"$3,429,929,710","342,992,971",25.1242763,121.5002427
3043,科風,31,新北市中和區連城路246號9樓,張貴博,"$389,756,340","38,975,634",24.9964505,121.4886822
3044,健鼎,28,桃園市平鎮區平鎮工業區工業五路21號,林修立,"$5,256,058,980","525,605,898",24.9052549,121.1971231
3045,台灣大,27,台北市信義區菸廠路88號12樓,張家麒,"$37,232,618,110","3,723,261,811",25.0447628,121.5610757
3046,建碁,25,臺北市松山區民福里復興北路369號7樓之5,陳聿修,"$784,480,130","78,448,013",25.0626923,121.5447163
3047,訊舟,27,台北市內湖區新湖一路278號,潘良榮,"$2,244,976,080","224,497,608",25.0623766,121.582263
3048,益登,29,台北市內湖區基湖路10巷50號8樓,黃秀玲,"$2,698,297,940","269,829,794",25.0820512,121.5635418
3049,精金,26,南部科學園區台南市善化區北園一路7號,林忠翰,"$8,020,105,290","802,010,529",23.1232263,120.2663523
3050,鈺德,26,桃園市龜山區華亞二路222號,羅宜富,"$1,549,844,500","154,984,450",25.0463591,121.3743983
3051,力特,26,桃園市平鎮區平東路659巷37號,趙寄蓉,"$1,670,000,000","167,000,000",24.9081622,121.2420942
3052,夆典,14,新北市中和區新民街112號4樓,吳秀玲,"$2,332,457,710","233,245,771",25.0084962,121.4804698
3054,立萬利,2,台北巿內湖區潭美街537號9樓,張登茵,"$806,510,410","80,651,041",25.0613447,121.5998953
3055,蔚華科,29,新竹市水源街95號,倪嫈琪,"$1,149,749,180","114,974,918",24.8027796,120.9925461
3056,富華新,14,新竹縣竹北市福興路875號3樓,黃中信,"$4,805,550,510","480,555,051",24.8232263,121.0093736
3057,喬鼎,25,新竹科學園區工業東四路二十一號五樓,朱惠玲,"$603,257,290","60,325,729",24.7748364,121.0076331
3058,立德,28,新北市新店區寶橋路235巷138號8樓,陳永松,"$2,017,227,790","201,722,779",24.9836721,121.5524318
3059,華晶科,26,新竹市科學園區力行路12號,陳矢學,"$3,072,420,250","307,242,025",24.7706788,121.0261232
3060,銘異,25,桃園市龜山區萬壽路1段492-1號10樓之1,孫德文,"$1,375,631,900","137,563,190",24.9940662,121.3348176
3062,建漢,27,新竹科學園區新竹縣寶山鄉園區三路99號,許宗哲,"$3,301,360,180","330,136,018",24.7717488,121.0019874
3090,日電貿,28,新北市新店區中正路四維巷一弄四號一樓,廖麗淑,"$2,875,671,500","287,567,150",24.9849232,121.5342657
3092,鴻碩,28,台北市內湖區行愛路169號,魯憶萱,"$1,065,520,300","106,552,030",25.0652813,121.579521
